"uid","浏览量","点赞量","观看作者数","观看作品数","观看作品平均时长","观看配乐数","完整观看数","去过的城市数","观看作品城市数"
61,22,0,21,22,11.0909090909091,22,8,1,18
62,62,0,62,62,11.4677419354839,58,12,1,47
63,42,0,41,42,12.452380952381,39,22,1,35
64,194,0,181,194,11.1958762886598,170,59,1,100
65,187,0,184,187,11.6631016042781,120,93,1,117
66,159,0,158,159,11.2893081761006,122,87,1,106
67,53,0,45,53,10.7169811320755,40,33,1,19
68,120,0,118,120,11.3666666666667,106,31,1,79
69,107,0,94,107,10.803738317757,93,19,1,71
70,27,0,27,27,11.0740740740741,26,9,1,24
71,70,0,66,70,10.6428571428571,62,7,1,48
72,210,0,189,210,10.9190476190476,175,135,1,100
73,8,0,8,8,11,7,3,1,8
74,21,0,21,21,13.1904761904762,19,12,1,19
75,18,0,18,18,10.9444444444444,17,1,1,17
76,1,0,1,1,35,1,1,1,1
77,30,0,30,30,9.86666666666667,28,6,1,28
78,134,0,132,134,10.6194029850746,107,23,1,89
79,38,4,38,38,9.81578947368421,38,15,2,35
80,614,1,573,614,11.0032573289902,442,71,1,178
81,15,0,15,15,12.2,15,7,2,14
82,73,0,71,73,12.0958904109589,65,34,1,55
83,30,0,29,30,10.4333333333333,26,20,1,26
84,118,1,107,118,10.9576271186441,92,27,1,67
85,7,0,7,7,10.1428571428571,7,4,1,7
86,15,0,15,15,14.0666666666667,15,9,1,15
87,44,0,39,44,10.7954545454545,40,31,1,26
88,30,0,30,30,12.7,29,8,1,25
89,171,0,149,171,10.9181286549708,135,78,1,76
90,20,0,20,20,12.75,20,6,1,19
91,59,0,58,59,10.3728813559322,52,23,1,38
92,190,3,183,190,11.4105263157895,169,40,1,81
93,153,1,150,153,11.0130718954248,125,61,1,96
94,23,0,23,23,11.0434782608696,21,15,1,20
95,46,34,45,46,11.8913043478261,42,30,1,34
96,27,0,27,27,8.81481481481481,27,12,1,25
97,22,2,22,22,14.7727272727273,20,12,1,21
98,145,2,140,145,11.3793103448276,130,56,3,81
99,171,0,169,171,10.9941520467836,137,88,1,102
100,2,0,2,2,9.5,2,0,1,2
101,18,0,18,18,10.7222222222222,16,12,1,15
102,559,0,543,559,11.2737030411449,422,54,1,173
103,51,0,50,51,10.0392156862745,39,39,2,40
104,5,0,5,5,11,5,2,3,5
105,166,0,163,166,11.6204819277108,136,45,2,97
106,34,0,34,34,11.1470588235294,32,8,1,29
107,7,0,7,7,13,7,5,1,7
108,72,3,70,72,9.58333333333333,62,23,1,58
109,117,0,112,117,12.5213675213675,110,40,1,74
110,315,0,296,315,11.3492063492063,235,18,1,116
111,34,0,34,34,11.0294117647059,32,3,1,29
112,38,0,38,38,11.2105263157895,36,7,2,35
113,27,1,26,27,10.4444444444444,27,11,1,19
114,78,20,77,78,11.0384615384615,61,12,1,58
115,24,0,24,24,8.625,23,9,2,21
116,71,0,69,71,10.169014084507,60,28,1,47
117,8,0,8,8,9.25,7,8,2,8
118,102,1,100,102,10.8529411764706,84,46,1,62
119,108,0,105,108,10.2222222222222,95,56,1,73
120,131,0,128,131,10.0229007633588,102,21,4,82
121,34,0,34,34,10.6764705882353,31,13,3,28
122,94,0,93,94,9.88297872340426,84,30,1,65
123,3,0,3,3,12.3333333333333,3,2,1,3
124,38,0,37,38,13.8421052631579,37,9,3,36
125,578,1,554,578,10.6885813148789,352,284,1,205
126,138,0,123,138,9.8695652173913,119,37,1,77
127,128,0,122,128,11.5546875,119,41,1,66
128,110,0,103,110,10.7818181818182,90,33,1,66
129,375,1,369,375,10.5626666666667,293,83,8,145
130,227,1,220,227,10.5903083700441,183,66,1,106
131,64,2,57,64,11.140625,64,7,1,47
132,106,0,103,106,11.7075471698113,97,55,1,73
133,53,0,53,53,12.3584905660377,45,17,1,45
134,217,0,211,217,11.8433179723502,186,54,2,126
135,7,0,7,7,9.85714285714286,7,4,1,7
136,12,0,12,12,12.5,12,6,1,11
137,33,0,33,33,11.0606060606061,30,17,1,31
138,147,0,140,147,10.2176870748299,132,89,1,79
139,15,0,15,15,12.2,15,9,1,14
140,28,0,28,28,10.1428571428571,28,15,1,28
141,14,0,14,14,11.6428571428571,14,7,1,12
142,115,0,115,115,11.0608695652174,85,32,1,81
143,103,0,103,103,11.8640776699029,91,16,1,69
144,33,0,32,33,10.3030303030303,31,11,1,20
145,68,46,68,68,12.0147058823529,60,8,1,52
146,251,0,239,251,10.4501992031873,225,43,1,115
147,149,0,141,149,11.4429530201342,137,16,6,89
148,90,0,86,90,11.7333333333333,71,23,1,67
149,69,0,69,69,12.5507246376812,52,39,1,57
150,38,2,38,38,10.9736842105263,35,12,1,24
151,22,0,22,22,9.09090909090909,22,15,1,19
152,17,0,17,17,13.8823529411765,16,7,1,14
153,2,0,2,2,9.5,2,1,1,2
154,24,0,24,24,11.7083333333333,21,12,1,19
155,384,0,360,384,11.4348958333333,268,110,1,144
156,35,0,35,35,9.97142857142857,30,1,1,33
157,42,0,42,42,12.452380952381,40,19,1,37
158,11,0,11,11,10.1818181818182,10,7,1,11
159,23,0,23,23,11,23,15,1,21
160,197,0,186,197,10.5329949238579,166,30,1,108
162,82,0,82,82,10.4512195121951,73,45,1,65
163,64,0,61,64,11.328125,53,40,1,49
164,34,0,34,34,10.8823529411765,34,6,1,29
165,375,4,322,375,10.704,294,135,1,122
166,13,0,13,13,11.4615384615385,13,7,1,12
167,37,0,36,37,10.9189189189189,34,21,1,29
168,45,10,45,45,11.7555555555556,42,24,1,36
169,120,0,119,120,11.3166666666667,107,25,1,82
170,111,0,108,111,10.7387387387387,88,22,3,79
171,40,0,40,40,10.05,37,24,2,36
172,11,0,11,11,9.09090909090909,11,8,1,10
173,120,0,120,120,12.6,99,43,2,82
174,13,0,13,13,9.92307692307692,13,8,1,12
175,21,0,20,21,10.047619047619,18,9,1,17
176,121,0,116,121,11.0909090909091,98,4,2,83
177,170,0,166,170,10.5117647058824,137,92,1,106
178,47,4,39,47,10.0212765957447,41,36,1,22
179,147,0,143,147,11.0680272108844,130,42,1,80
180,24,3,24,24,9.75,23,12,2,22
181,19,0,19,19,10.6842105263158,19,11,1,17
182,58,0,58,58,11.4827586206897,43,22,2,34
183,181,0,176,181,12.3701657458564,136,76,2,77
184,48,0,48,48,10.9166666666667,44,21,1,32
185,39,0,39,39,11.5384615384615,35,12,1,35
186,20,0,20,20,12.6,19,4,1,16
187,85,0,82,85,11.7529411764706,72,16,1,66
188,161,0,152,161,10.832298136646,134,70,2,89
189,77,0,71,77,11.5844155844156,63,17,1,46
190,141,0,139,141,10.8794326241135,121,77,1,93
191,42,1,42,42,9.64285714285714,41,20,1,27
192,83,0,81,83,12.2289156626506,77,39,3,62
193,56,0,56,56,11.1785714285714,51,27,1,34
195,45,0,45,45,10.4222222222222,43,23,1,39
196,261,1,256,261,11.3639846743295,194,64,1,124
197,22,1,21,22,12.5909090909091,17,4,1,18
198,57,0,56,57,9.68421052631579,53,34,1,38
199,14,0,14,14,13.4285714285714,13,9,2,14
200,219,0,198,219,10.6301369863014,161,30,4,106
201,73,0,72,73,11.3698630136986,62,28,1,55
202,29,0,25,29,11.3793103448276,23,12,2,18
203,3,0,3,3,11.6666666666667,3,0,1,3
204,16,0,15,16,11.5625,16,11,1,14
205,44,1,41,44,10.0681818181818,43,12,1,29
206,53,3,51,53,10.7358490566038,48,21,1,42
207,127,0,124,127,11.6456692913386,109,18,1,84
208,85,0,83,85,10.4588235294118,65,9,1,68
209,129,0,123,129,11.1085271317829,110,42,1,71
210,51,0,48,51,11.6078431372549,43,30,1,40
211,28,0,28,28,11.3571428571429,25,21,1,26
212,40,0,40,40,9.8,40,6,1,30
213,2,0,2,2,9.5,2,1,1,2
214,27,0,27,27,11.2962962962963,23,17,1,23
215,58,0,58,58,11.5344827586207,51,26,1,47
216,84,0,80,84,11.6428571428571,71,6,2,60
217,15,0,15,15,9,15,8,1,12
218,106,0,98,106,11.1792452830189,91,38,1,59
219,44,0,40,44,9.70454545454546,43,22,1,32
220,195,3,188,195,10.9538461538462,177,80,1,59
221,148,1,140,148,10.8243243243243,126,29,1,88
222,65,0,59,65,11.2307692307692,60,23,1,50
223,4,0,4,4,17,4,2,1,4
224,17,0,15,17,10.2352941176471,17,5,3,15
225,777,0,728,777,10.6756756756757,547,53,2,172
226,13,0,13,13,8.38461538461539,12,1,1,12
228,79,0,79,79,10.9367088607595,73,38,3,64
229,20,0,20,20,14,20,17,1,17
230,28,0,27,28,11.4642857142857,28,21,1,22
231,71,0,71,71,11.5211267605634,59,27,1,50
232,43,0,40,43,12.3953488372093,40,21,1,29
233,28,0,28,28,11.8571428571429,26,19,2,27
234,58,0,56,58,11.1206896551724,56,23,1,48
235,193,0,191,193,10.6528497409326,131,67,1,96
236,34,0,34,34,11.2941176470588,31,22,1,28
237,51,0,51,51,11.1372549019608,37,15,2,42
238,64,0,64,64,11.515625,57,38,1,53
239,353,0,330,353,11.1586402266289,284,90,1,144
240,235,0,222,235,10.3276595744681,199,78,1,105
241,11,0,11,11,10.9090909090909,11,7,1,11
242,160,1,154,160,11.425,147,104,1,77
243,162,1,159,162,11.216049382716,131,60,1,86
244,98,0,97,98,11.4591836734694,79,46,1,74
245,127,2,123,127,10.4724409448819,109,39,1,69
246,77,0,76,77,12.4025974025974,64,12,1,61
247,100,0,99,100,12.17,82,24,1,72
248,15,0,15,15,9.93333333333333,15,9,2,14
249,153,0,150,153,10.718954248366,127,79,1,82
250,96,0,87,96,13.59375,82,58,2,71
251,82,0,77,82,10.1463414634146,69,17,1,58
252,16,0,15,16,12.375,15,14,1,13
253,33,1,33,33,10.6363636363636,31,13,1,26
254,73,0,72,73,12.4246575342466,55,29,1,58
255,133,0,133,133,11.8646616541353,115,64,1,84
256,90,0,87,90,11.5777777777778,82,43,1,57
257,8,0,8,8,14.625,8,2,1,8
258,85,0,79,85,10.7294117647059,72,29,2,51
259,53,0,52,53,11.5660377358491,51,14,1,39
260,6,0,5,6,10.3333333333333,6,5,1,4
261,226,0,216,226,11.353982300885,174,52,1,90
262,8,0,8,8,8.375,8,1,1,2
263,4,0,4,4,8.25,4,4,1,4
264,42,5,41,42,11.2142857142857,39,19,2,37
265,42,0,41,42,10.5714285714286,38,28,1,35
266,16,0,16,16,10.9375,16,4,3,16
267,21,0,21,21,10.2857142857143,18,11,1,18
268,54,2,52,54,9.98148148148148,48,34,1,46
269,42,0,39,42,10.4761904761905,39,24,1,37
270,91,0,91,91,10.5054945054945,77,46,1,59
271,63,0,63,63,9.79365079365079,53,23,1,45
272,19,0,19,19,10.6315789473684,18,13,1,16
273,42,0,39,42,12.8095238095238,37,19,1,31
274,686,0,543,686,10.9037900874636,405,104,2,173
275,238,0,234,238,11.7731092436975,186,65,1,112
276,152,0,144,152,11.5394736842105,139,23,1,75
277,35,0,33,35,9.97142857142857,32,1,1,23
278,45,0,44,45,9.77777777777778,42,17,1,36
279,26,0,26,26,10.0769230769231,24,5,1,24
280,107,0,104,107,10.4859813084112,101,66,1,61
281,77,1,75,77,13.3506493506494,71,37,1,61
282,12,0,12,12,9.58333333333333,12,7,1,11
283,111,1,107,111,10.7837837837838,96,32,1,65
284,212,0,206,212,11.4716981132075,147,120,4,119
285,25,0,25,25,14.72,25,7,1,24
286,185,0,175,185,11.3567567567568,169,77,1,95
287,31,0,31,31,10.4838709677419,28,14,2,26
288,37,0,34,37,11.2162162162162,33,13,1,25
289,40,0,40,40,11.4,36,20,1,36
290,46,0,46,46,11.7391304347826,40,25,1,38
291,57,0,56,57,12.7894736842105,54,40,1,50
292,13,0,13,13,8.23076923076923,13,3,1,12
293,196,0,195,196,10.3520408163265,153,99,1,106
294,66,10,65,66,11.3030303030303,59,46,2,51
295,319,1,316,319,10.7617554858934,215,62,1,113
296,6,0,6,6,9.16666666666667,6,0,1,6
297,67,1,66,67,10.0597014925373,59,34,1,47
298,188,0,186,188,11.3882978723404,170,80,1,108
299,35,0,35,35,11.8285714285714,31,19,1,32
300,19,0,18,19,12.0526315789474,19,7,1,14
301,125,1,124,125,10.4,100,12,1,74
302,45,0,45,45,10.0666666666667,45,22,1,39
303,6,0,6,6,9.33333333333333,6,3,1,6
304,12,0,12,12,10.0833333333333,12,4,1,10
305,107,0,100,107,11.9065420560748,96,12,1,79
306,19,0,18,19,12.2631578947368,17,5,1,15
307,24,0,24,24,11.2083333333333,23,14,1,22
308,9,0,9,9,9,9,6,1,8
309,90,0,85,90,11.5444444444444,71,14,2,58
310,3,0,3,3,8.66666666666667,3,2,1,3
311,113,0,112,113,10.9115044247788,93,38,1,79
312,28,0,28,28,12.5,26,14,1,23
313,76,0,75,76,11.2105263157895,72,12,1,65
314,65,0,65,65,12.5538461538462,53,34,1,54
315,9,0,9,9,10.2222222222222,8,5,1,6
316,22,0,22,22,10.2727272727273,22,11,1,22
317,63,0,62,63,10.5555555555556,54,19,1,45
318,42,0,39,42,10.6666666666667,40,6,1,33
319,69,0,68,69,11.5072463768116,66,20,1,63
320,35,1,35,35,13.9142857142857,29,21,1,32
321,28,0,28,28,12.6071428571429,27,23,1,25
322,78,0,78,78,12.025641025641,62,48,2,64
323,127,0,125,127,11.4409448818898,113,50,1,76
324,44,1,44,44,10.7954545454545,39,21,1,41
325,21,0,21,21,14.047619047619,19,14,1,20
326,92,0,86,92,10.6086956521739,85,48,1,58
327,21,0,21,21,8.28571428571429,21,3,1,20
328,48,0,47,48,12.6458333333333,45,21,1,39
329,1,0,1,1,10,1,0,1,1
330,17,0,17,17,12.9411764705882,14,10,2,16
331,175,0,164,175,11.3485714285714,145,41,1,96
332,107,0,100,107,10.607476635514,90,45,1,58
333,103,0,88,103,10.6601941747573,91,46,1,54
334,84,0,80,84,12.75,74,33,1,65
335,19,0,19,19,15.1052631578947,19,13,1,19
336,35,1,35,35,10.3428571428571,29,23,1,31
337,192,0,182,192,10.6927083333333,154,18,1,104
338,26,0,26,26,11.5769230769231,26,11,1,23
339,168,0,158,168,11.2857142857143,156,43,1,86
340,39,0,35,39,10.1025641025641,37,34,1,32
341,74,1,72,74,12,66,40,1,63
342,81,1,79,81,11.5555555555556,68,17,1,34
343,114,0,113,114,10.8245614035088,100,30,1,74
344,39,1,38,39,11.8717948717949,37,19,1,32
345,108,3,104,108,9.60185185185185,100,67,1,51
346,31,0,31,31,12.1612903225806,30,11,1,28
347,224,0,223,224,11.4107142857143,182,50,4,104
348,52,0,49,52,11.5769230769231,41,21,1,33
349,30,0,30,30,11.9666666666667,29,12,2,27
350,175,0,172,175,10.9714285714286,159,71,1,107
351,43,0,43,43,10.4418604651163,39,15,1,38
352,15,0,15,15,12.4666666666667,15,6,3,14
353,3,0,3,3,8,3,3,1,3
354,458,0,439,458,10.9912663755459,310,223,1,170
355,3,0,3,3,6.66666666666667,3,3,1,3
356,26,0,26,26,16.7307692307692,26,14,1,25
357,4,0,4,4,9.5,4,3,1,4
358,55,0,53,55,9.67272727272727,50,46,1,40
359,30,0,30,30,10.1,28,10,1,27
360,59,3,58,59,10.9661016949153,58,17,1,46
361,27,0,27,27,11.2962962962963,26,16,1,24
362,24,0,22,24,12.0416666666667,22,5,1,20
363,59,2,57,59,9.98305084745763,53,31,1,43
364,322,0,310,322,10.8198757763975,233,103,1,135
365,163,0,160,163,10.2208588957055,122,52,4,107
366,50,0,49,50,10.48,48,19,7,36
367,35,0,34,35,12.2,32,25,1,32
368,8,0,8,8,9.25,8,4,1,8
369,56,0,54,56,10.0714285714286,50,27,1,40
370,182,0,176,182,15.032967032967,123,59,2,97
372,90,0,90,90,10.0777777777778,75,29,2,67
373,224,0,217,224,11.2455357142857,179,16,1,124
374,10,0,10,10,12.2,10,5,1,9
375,28,1,28,28,12.8214285714286,23,17,1,23
376,21,0,21,21,12,20,10,1,14
377,27,0,27,27,13.7777777777778,24,15,1,22
378,5,0,5,5,9.6,5,2,1,2
379,113,16,106,113,9.79646017699115,101,30,1,63
380,40,4,27,40,11.175,39,17,2,20
381,24,0,24,24,9.70833333333333,22,16,1,22
382,114,0,111,114,10.7719298245614,92,28,1,75
383,21,0,21,21,9.85714285714286,20,7,1,20
384,460,0,452,460,11.1717391304348,307,101,1,193
385,148,0,147,148,10.7567567567568,118,34,2,92
386,82,0,79,82,10.6341463414634,73,10,1,60
387,48,8,48,48,11.875,47,30,1,38
388,73,0,71,73,10.2739726027397,67,30,1,48
389,58,0,58,58,12.5689655172414,54,28,1,47
390,32,0,31,32,11.8125,32,12,1,25
391,62,0,61,62,11.0322580645161,59,17,1,46
392,47,0,47,47,10.7234042553191,42,24,2,40
393,2,0,2,2,13.5,2,2,1,2
394,110,0,110,110,11.2181818181818,85,38,1,82
395,100,0,98,100,10.98,92,22,1,67
396,48,0,47,48,10.5625,45,26,1,35
397,6,0,6,6,13.5,5,3,2,5
398,74,0,72,74,10.8378378378378,69,40,1,59
399,10,0,10,10,9,10,3,1,9
400,246,1,243,246,10.979674796748,188,60,1,119
401,26,0,26,26,11.7692307692308,22,9,1,22
402,20,0,19,20,10.15,18,13,1,17
403,562,0,492,562,10.7775800711744,380,149,1,157
404,58,0,57,58,10.8448275862069,50,28,4,46
405,26,4,25,26,10.5769230769231,24,14,1,23
406,38,1,38,38,10.7105263157895,38,28,1,32
407,187,0,177,187,11.6737967914439,169,51,1,92
408,65,0,64,65,10.5538461538462,58,37,1,50
409,7,0,7,7,8.57142857142857,7,1,1,7
410,67,0,64,67,10.4179104477612,57,21,1,45
411,105,0,104,105,10.847619047619,84,22,1,71
412,6,0,6,6,10.3333333333333,6,3,1,6
413,184,0,183,184,11,150,59,3,75
414,375,1,342,375,10.8453333333333,289,33,1,121
415,9,0,9,9,15.3333333333333,9,5,1,8
416,55,0,55,55,10.4545454545455,48,17,1,45
417,70,0,70,70,9.65714285714286,66,12,1,53
418,86,0,86,86,11.2441860465116,65,26,2,59
419,221,11,204,221,10.5927601809955,183,77,1,106
420,20,0,20,20,12.7,18,8,1,17
421,18,0,18,18,13.8333333333333,18,17,1,18
422,35,0,35,35,12.9142857142857,34,15,1,27
423,33,0,33,33,12.1818181818182,32,18,1,27
424,41,0,41,41,11.1951219512195,39,13,1,35
425,24,0,24,24,10.7916666666667,19,14,1,23
426,49,0,48,49,10.6734693877551,47,15,2,42
427,11,0,11,11,10.4545454545455,11,5,1,10
428,4,0,4,4,14.25,4,2,1,3
429,32,0,32,32,10.0625,29,23,1,26
430,23,0,23,23,12.0869565217391,21,10,1,21
431,36,0,36,36,10.6666666666667,29,8,1,28
432,134,0,117,134,10.8432835820896,106,46,1,65
433,24,0,23,24,16.125,23,8,1,18
434,35,1,35,35,10.8857142857143,32,22,1,31
435,256,0,250,256,10.85546875,164,79,1,129
436,12,0,11,12,10.5,12,6,1,11
437,58,0,58,58,12.4137931034483,45,30,2,48
438,114,0,110,114,10.2719298245614,103,25,1,78
439,61,0,59,61,11.2459016393443,55,34,1,48
440,76,0,72,76,11.7368421052632,65,12,1,52
441,19,0,19,19,15.4736842105263,18,10,1,17
442,191,0,161,191,10.6020942408377,169,11,1,95
443,31,0,31,31,10.1290322580645,31,17,5,30
444,27,0,27,27,11.962962962963,25,6,1,24
445,29,0,28,29,10.5862068965517,29,14,1,20
446,174,2,173,174,11.6091954022988,134,75,1,110
447,35,0,35,35,9.94285714285714,32,0,1,34
448,7,0,7,7,12.5714285714286,7,4,1,7
449,79,0,74,79,10.7848101265823,70,19,1,61
450,7,0,7,7,8.14285714285714,7,2,1,6
451,29,0,29,29,12.1379310344828,25,12,1,28
452,211,0,210,211,10.8009478672986,147,115,1,110
453,66,0,62,66,11.7575757575758,60,27,1,45
454,179,0,160,179,10.5810055865922,154,61,2,107
455,524,0,473,524,12.7843511450382,337,225,1,175
456,107,0,89,107,10.9065420560748,93,26,1,53
457,13,0,13,13,10.2307692307692,13,7,1,13
458,76,1,75,76,10.5394736842105,63,33,1,55
459,17,0,16,17,12.5294117647059,16,5,1,14
460,88,0,81,88,10.875,73,19,3,42
461,20,1,18,20,11.6,20,9,1,17
462,73,0,72,73,11.013698630137,64,30,1,53
463,61,0,60,61,11.3934426229508,52,27,1,48
464,14,0,14,14,14.7857142857143,13,10,1,12
465,135,0,131,135,10.6074074074074,106,24,1,73
466,187,1,176,187,10.6524064171123,156,47,1,89
467,150,0,144,150,10.4666666666667,107,56,1,87
468,58,2,57,58,12.051724137931,51,22,1,33
469,169,1,165,169,11.0118343195266,147,60,1,96
470,14,0,14,14,9.28571428571429,14,4,1,12
471,165,0,158,165,11.7030303030303,133,47,1,97
472,139,0,136,139,11.1151079136691,102,18,1,95
473,66,0,62,66,11.9090909090909,62,38,1,43
474,31,0,30,31,9.54838709677419,26,16,1,23
475,20,0,20,20,12.7,19,11,1,17
476,28,0,28,28,9.14285714285714,27,12,2,25
477,36,0,32,36,9.94444444444444,30,16,1,14
478,63,0,63,63,11.6031746031746,58,37,5,54
479,14,0,14,14,11.2142857142857,14,7,1,14
480,3,0,3,3,12.3333333333333,3,2,1,3
481,20,0,20,20,12.05,20,16,1,16
482,6,0,6,6,8.33333333333333,6,5,1,6
483,3,0,2,3,14.3333333333333,3,2,1,2
484,25,0,24,25,9.96,21,13,1,23
485,73,2,70,73,10.1232876712329,68,48,1,59
486,33,0,33,33,11.9090909090909,33,5,1,24
487,180,0,176,180,11.0722222222222,145,45,1,102
488,271,0,263,271,10.9926199261993,219,78,2,143
489,160,0,159,160,10.41875,136,67,1,104
490,46,1,45,46,11.1521739130435,42,10,1,37
491,16,0,16,16,9.875,16,9,1,16
492,152,0,148,152,10.6315789473684,119,78,1,101
493,63,0,60,63,10.4444444444444,62,25,1,52
494,9,0,9,9,9.66666666666667,9,1,1,8
495,388,0,375,388,10.6752577319588,296,124,1,173
496,111,0,108,111,11.045045045045,94,38,1,74
497,73,0,70,73,11.8493150684932,65,47,1,43
498,54,0,54,54,11.1296296296296,48,16,1,43
499,45,0,42,45,11.5333333333333,38,16,1,27
500,13,0,13,13,14.3076923076923,11,3,1,11
501,31,0,31,31,11.3225806451613,30,18,1,26
502,239,1,222,239,10.907949790795,197,44,1,93
503,73,0,70,73,10.8767123287671,67,36,1,54
504,19,0,19,19,13.8421052631579,19,16,1,18
505,52,0,51,52,11.1153846153846,43,29,2,43
506,3,0,3,3,17.6666666666667,3,2,1,3
507,57,4,57,57,9.92982456140351,46,30,1,46
508,55,0,55,55,12.2181818181818,51,25,1,36
509,64,1,63,64,12.484375,59,35,2,51
510,62,0,62,62,11.3548387096774,55,23,1,52
511,62,0,62,62,10.3387096774194,58,36,1,49
512,5,0,5,5,9.2,5,2,1,5
513,12,0,12,12,9.5,9,4,1,12
514,58,0,56,58,10.9310344827586,46,13,1,42
515,124,0,119,124,11.4516129032258,103,44,1,56
516,80,0,75,80,10.7,65,36,1,51
517,328,0,309,328,10.5579268292683,239,104,1,113
518,176,0,169,176,10.3920454545455,123,57,1,114
519,180,2,172,180,10.8166666666667,154,39,1,94
520,4,0,4,4,9.25,4,3,1,4
521,44,0,44,44,10.4772727272727,38,15,1,29
522,19,0,19,19,13.1052631578947,19,6,1,17
523,307,0,274,307,11.371335504886,214,139,1,143
524,69,1,69,69,10.6521739130435,64,27,1,50
525,422,0,401,422,12.063981042654,293,70,1,178
526,3,1,3,3,10,3,2,1,3
527,116,2,113,116,12.4224137931034,104,48,1,57
528,46,0,45,46,11.8478260869565,42,19,1,44
529,166,0,164,166,11.0421686746988,125,67,1,94
530,89,3,87,89,9.17977528089888,81,37,1,62
531,8,0,8,8,16.125,8,1,1,7
532,263,0,259,263,11.2965779467681,211,58,1,131
533,324,0,306,324,11.0154320987654,236,114,2,142
534,16,0,16,16,12.4375,16,7,1,15
535,83,5,83,83,11.9277108433735,71,29,2,50
536,110,0,104,110,10.8545454545455,97,50,2,76
537,32,0,32,32,14,31,11,1,26
538,436,0,421,436,10.9862385321101,322,25,1,164
539,24,0,24,24,11.25,24,15,1,18
540,30,0,30,30,10.5333333333333,29,7,2,28
541,9,0,9,9,9.88888888888889,9,8,1,9
542,1,0,1,1,6,1,0,1,1
543,27,0,27,27,11.5925925925926,26,10,1,22
544,197,0,195,197,10.4314720812183,181,42,1,116
545,9,0,9,9,10.1111111111111,9,4,1,9
546,165,0,157,165,10.5030303030303,133,47,1,87
547,49,0,49,49,10.8367346938776,47,9,1,37
548,374,0,363,374,10.8582887700535,274,155,1,156
549,17,0,17,17,8.29411764705882,16,15,1,15
550,175,1,175,175,11.1942857142857,137,16,1,101
551,160,2,149,160,11.10625,135,55,1,78
552,18,0,18,18,10.1111111111111,18,12,1,17
